Timestamp,PPID,TesterID,Current,Temperature,Result
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.692,30.78,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.427,23.12,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.267,24.21,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.307,27.93,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.200,23.86,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,24.462,25.70,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.207,23.25,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,24.751,27.09,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.569,30.02,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,24.716,22.30,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.068,30.34,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.332,27.10,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.318,29.82,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.541,33.23,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.170,23.04,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.248,34.35,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,24.723,30.22,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.025,30.62,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.107,31.56,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.317,27.79,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.692,26.15,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.526,23.55,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,24.986,24.21,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,24.907,24.52,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.336,33.81,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,24.987,30.16,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.732,31.31,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.099,32.17,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,24.555,25.14,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.018,24.73,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.107,22.51,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,24.619,23.73,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,25.308,28.74,PASS
2026-01-14 15:04:27,PPIDTEST001,Tester01,24.865,25.51,PASS
